,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
144,guijo de granadilla 2,WRI1006525,52.21,40.1935,-6.1634,hydro,143.2686771479601,Cáceres,Extremadura,31.0,0.043637199999999994,145.0,67.6667,0.55,2.13333
145,guillena 1,WRI1006526,207.99,37.641,-6.0724,hydro,570.7422363532701,Sevilla,Andalucía,34.0,16.4318,610.0,33.8852,1.75647,10.7316
146,hedroso-aciberos,WRI1006527,31.45,42.0357,-6.9054,wind,144.28455692585052,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
147,helios i,WRI1006528,99.8,39.2385,-3.4749,solar,671.2695166746768,Ciudad Real,Castilla-La Mancha,25.0,27.0,324.607,16.0,4.0,40.0
148,horta medio ambiente,WRI1006533,14.94,42.8561,-7.1636,waste,52.8217206883578,Lugo,Galicia,32.0,0.12704400000000002,100.0,69.648,0.27660300000000004,1.0
149,hoya del moral,WRI1006534,40.8,38.8299,-3.5781,wind,187.17996574164383,Ciudad Real,Castilla-La Mancha,14.0,7.12437,320.85200000000003,31.0,0.11804500000000001,2.95066
150,ip 1,WRI1006560,88.85,42.7163,-0.5256,hydro,243.81195105528164,Huesca,Aragón,26.0,0.707755,358.403,55.5217,0.121072,2.22772
151,iznajar 1,WRI1006562,76.71000000000002,37.2667,-4.4143,hydro,210.49875931852176,Málaga,Andalucía,35.0,14.2686,400.543,76.0,0.680797,3.0
152,jinamar 10  gas 2,WRI1006564,234.46000000000004,28.0424,-15.4114,oil,709.4585540742003,Las Palmas,Canarias,29.0,19.0,311.673,52.3333,4.0,6.75
153,jose m oriol  grupo 4,WRI1006571,953.32,39.2438,-0.9317,hydro,2615.9910993812164,Valencia,Comunidad Valenciana,69.0,6.0,375.092,29.0,362.5,6.9188
154,la aljorra-cartagena,WRI1006574,27.17,37.4955,-1.4802,waste,96.06199137233476,Murcia,Región de Murcia,31.0,17.0153,200.0,36.4333,12.0,14.0
155,la barca 1,WRI1006575,52.09,28.3504,-14.1076,hydro,142.9393869495737,Las Palmas,Canarias,31.0,24.0,311.255,68.0,0.408385,0.7979109999999999
156,la calzada,WRI1006576,30.6,38.6739,-0.8133,wind,140.38497430623295,Alicante,Comunidad Valenciana,21.0,10.8879,389.278,33.5,2.145,10.6667
157,la dehesa,WRI1006578,49.9,38.9594,-6.464,solar,335.6347583373384,Badajoz,Extremadura,30.0,1.79174,270.0,63.926,125.0,4.38048
158,la florida,WRI1006580,49.9,38.8145,-6.8377,solar,335.6347583373384,Badajoz,Extremadura,34.0,0.0609682,327.11,72.5985,125.0,2.25985
159,la lora i,WRI1006583,49.6,42.7744,-4.1676,wind,227.55211521533184,Palencia,Castilla y León,30.0,3.0,296.652,65.0,0.5,1.5
160,la muela cortes 1,WRI1006586,634.0,39.2628,-0.9192,hydro,1739.749881474942,Valencia,Comunidad Valenciana,69.0,6.0,365.07800000000003,29.0,362.5,4.6643
161,la remolina gr 1,WRI1006591,83.19,42.9036,-5.1437,hydro,228.28043003138862,León,Castilla y León,33.0,0.0678382,321.269,71.0,1.0,5.0
162,la risca,WRI1006592,50.0,38.8269,-6.824,solar,336.3073730835053,Badajoz,Extremadura,34.0,0.0609682,327.11,72.5985,125.0,2.25985
163,la robla grupo 2,WRI1006593,619.06,42.7924,-5.634,coal,3192.4550881159835,León,Castilla y León,56.0,27.0,305.414,61.2438,9.0,3.8021199999999995
