,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
259,p. e. la penuca,WRI1006813,33.0,41.1748,-6.5194,wind,151.39556052632963,Salamanca,Castilla y León,30.0,0.201943,338.793,65.0883,0.148779,3.02563
260,p. e. la plata,WRI1006814,21.25,39.9856,-3.369,wind,97.48956549043952,Toledo,Castilla-La Mancha,76.0,39.0,324.607,4.415,0.28545,49.4
261,p. e. la serreta (unificado con ampliacion),WRI1006815,49.5,41.6336,-1.2744,wind,227.0933407894944,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
262,p. e. las cabrillas,WRI1006819,28.5,40.5327,-0.2625,wind,130.75071136364832,Castellón,Comunidad Valenciana,54.0,24.0,385.106,18.5,3.0,3.0
263,p. e. los alburejos,WRI1006826,10.0,36.4569,-5.9272,wind,45.87744258373625,Cádiz,Andalucía,34.0,19.7257,384.68800000000005,24.721,5.0,24.0
264,p. e. los almendros ii,WRI1006827,28.0,38.4792,-1.325,wind,128.4568392344615,Murcia,Región de Murcia,20.0,9.19885,381.76800000000003,30.8007,5.0,8.096919999999999
265,p. e. los cantales,WRI1006829,23.54,41.6336,-1.2744,wind,107.99549984211514,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
266,p. e. los reventones,WRI1006832,34.0,38.4792,-1.325,wind,155.98330478470325,Murcia,Región de Murcia,20.0,9.19885,381.76800000000003,30.8007,5.0,8.096919999999999
267,p. e. magallon 26,WRI1006834,10.8,41.8325,-1.4598,wind,49.54763799043515,Zaragoza,Aragón,24.0,2.9750099999999997,375.0,51.0,1.0,8.3
268,p. e. magana,WRI1006835,24.75,41.9009,-2.1627,wind,113.5466703947472,Soria,Castilla y León,24.0,4.1518,650.0,51.6667,2.16667,7.16667
269,p. e. mallen,WRI1006837,29.8,41.0475,-2.2048,wind,136.71477889953402,Guadalajara,Castilla-La Mancha,32.0,4.5189699999999995,321.686,69.8268,0.28684699999999996,1.39768
270,p. e. maranchon i,WRI1006838,66.0,41.0475,-2.2048,wind,302.79112105265926,Guadalajara,Castilla-La Mancha,32.0,4.5189699999999995,321.686,69.8268,0.28684699999999996,1.39768
271,p. e. maranchon sur,WRI1006839,12.0,41.0475,-2.2048,wind,55.052931100483505,Guadalajara,Castilla-La Mancha,32.0,4.5189699999999995,321.686,69.8268,0.28684699999999996,1.39768
272,p. e. maza,WRI1006840,49.5,39.6,-1.8,wind,227.0933407894944,Cuenca,Castilla-La Mancha,4.0,1.0,351.727,4.0,3.0,21.0
273,p. e. monasterio de rodilla,WRI1006842,11.4,38.0833,-6.2667,wind,52.30028454545933,Badajoz,Extremadura,36.0,11.2042,200.0,77.0,125.0,2.3
274,p. e. muel,WRI1006846,16.2,41.4663,-1.085,wind,74.32145698565273,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
275,p. e. pla de embalague,WRI1006851,36.0,40.5327,-0.2625,wind,165.1587933014505,Castellón,Comunidad Valenciana,54.0,24.0,385.106,18.5,3.0,3.0
276,p. e. plana de jarreta,WRI1006852,49.5,41.5801,-1.1172,wind,227.0933407894944,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
277,p. e. rio gallego (unificado),WRI1006856,36.0,41.6544,-0.8494,wind,165.1587933014505,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
278,p. e. san esteban fase i,WRI1006858,66.47,42.4171,-7.7498,wind,304.9473608540949,Ourense,Galicia,29.0,11.0,165.0,61.8696,0.280328,31.0
279,p. e. santa quiteria,WRI1006861,36.0,42.0425,-0.5814,wind,165.1587933014505,Huesca,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
280,p. e. serra da loba,WRI1006864,36.0,43.3126,-7.9146,wind,165.1587933014505,Lugo,Galicia,33.0,0.12154100000000001,100.0,57.9357,0.41536999999999996,1.0
281,p. e. serra do cando,WRI1006865,29.23,42.4,-8.4333,wind,134.09976467226107,Pontevedra,Galicia,22.0,19.0,105.0,47.0,1.075,5.13333
282,p. e. sierra costera  ii,WRI1006867,40.8,40.7081,-0.9149,wind,187.17996574164383,Teruel,Aragón,17.0,5.62409,394.285,36.0,3.0,23.0
283,p. e. sierra de los lagos,WRI1006871,38.94,43.2731,-6.6215,wind,178.64676142106896,Asturias,Principado de Asturias,26.0,0.446457,326.276,56.0,1.35228,2.9346
284,p. e. silvarredonda,WRI1006877,16.9,43.2004,-8.8728,wind,77.53287796651426,A Coruña,Galicia,27.0,18.0,110.0,58.0,1.15,6.0
285,p. e. tijola,WRI1006879,36.0,37.3461,-2.4333,wind,165.1587933014505,Almería,Andalucía,19.0,6.02159,352.561,40.1884,0.345986,12.0
286,p. e. valparaiso,WRI1006882,41.25,42.0228,-6.3303,wind,189.24445065791198,Zamora,Castilla y León,30.0,0.19733499999999998,314.593,64.8201,0.227708,2.3803400000000003
287,p. e. valpardo,WRI1006883,21.25,40.594,-4.4115,wind,97.48956549043952,Ávila,Castilla y León,25.0,19.0,600.0,32.5,2.0,14.0
288,p. e. vedadillo,WRI1006884,49.5,42.3897,-1.7932,wind,227.0933407894944,Navarra,Navarra,22.0,5.0,295.0,47.75,2.15,6.9
289,p. e. virgen de belen i (ampl. 10000 kw  2-2-06),WRI1006885,57.52,38.8795,-1.3123,wind,263.88704974165097,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,29.0,362.5,5.060569999999999
290,p. e. virgen de los llanos i,WRI1023528,49.5,38.9722,-1.4518,wind,227.0933407894944,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,40.7249,362.5,5.060569999999999
291,p. e.muela de tortosilla,WRI1006888,36.96,38.9667,-1.2167,wind,169.56302778948918,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,29.0,362.5,5.060569999999999
292,p.e . pedregoso b,WRI1006892,14.85,36.0139,-5.6069,wind,68.12800223684833,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
293,p.e.  alabe-montemayor sur,WRI1006899,12.75,43.3667,-7.4833,wind,58.49373929426372,Lugo,Galicia,30.0,0.128797,100.0,63.8366,0.308268,1.0
294,p.e.  alabe-terral,WRI1006900,27.0,43.3667,-7.4833,wind,123.86909497608788,Lugo,Galicia,30.0,0.128797,100.0,63.8366,0.308268,1.0
295,p.e.  buio,WRI1006902,40.3,43.2674,-8.7833,wind,184.88609361245707,A Coruña,Galicia,30.0,0.800617,382.185,64.0,1.3,5.04986
296,p.e.  de barbanza,WRI1006904,19.8,42.7248,-9.0053,wind,90.83733631579778,La Coruña,Galicia,27.0,18.0,110.0,58.0,1.15,6.0
297,p.e.  hoya gonzalo,WRI1006910,49.5,38.9579,-1.5568,wind,227.0933407894944,Albacete,Castilla-La Mancha,69.0,3.37499,358.82,33.7958,362.5,4.72856
298,p.e.  pedregoso a,WRI1006912,14.85,36.0139,-5.6069,wind,68.12800223684833,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
299,p.e.  rabosera,WRI1006913,31.35,42.0482,-0.9103,wind,143.82578250001316,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
300,p.e.  rioboo,WRI1006914,20.8,42.6333,-7.95,wind,95.4250805741714,Pontevedra,Galicia,29.0,0.051291199999999995,230.0,61.8696,0.280328,31.0
301,p.e.  tea,WRI1006916,48.1,42.2167,-8.3667,wind,220.67049882777138,Pontevedra,Galicia,29.0,19.0,165.0,36.0,1.0,13.4667
302,p.e. aldeavieja,WRI1006925,14.52,40.7067,-4.5002,wind,66.61404663158504,Ávila,Castilla y León,25.0,19.0,600.0,32.5,2.0,14.0
303,p.e. alijar,WRI1006927,24.0,36.6865,-6.1361,wind,110.10586220096701,Cádiz,Andalucía,44.0,21.0678,378.01300000000003,19.6472,5.0,32.3877
304,p.e. almaren unificado,WRI1006928,11.9,41.486,-1.595,wind,54.594156674646136,Zaragoza,Aragón,14.0,3.5973599999999997,300.0,31.0,4.0,18.0
305,p.e. almodovar ii,WRI1006930,28.5,37.8107,-5.0204,wind,130.75071136364832,Córdoba,Andalucía,30.0,16.7087,355.065,50.0679,1.4826700000000002,38.0
306,p.e. ampliacion hedroso aciberos,WRI1006937,14.0,42.0357,-6.9054,wind,64.22841961723076,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
307,p.e. belmonte,WRI1023529,34.85,43.3081,-6.2688,wind,159.88288740432085,Asturias,Principado de Asturias,33.0,23.0,390.0,40.0,4.0,14.5
308,p.e. bullana,WRI1006948,38.0,42.9684,-7.0854,wind,174.33428181819775,Lugo,Galicia,32.0,0.12704400000000002,100.0,69.648,0.27660300000000004,1.0
309,p.e. cabezuelo,WRI1006952,30.0,39.2333,-1.75,wind,137.63232775120878,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
310,p.e. calares,WRI1006954,50.0,40.7767,-1.6498,wind,229.38721291868129,Guadalajara,Castilla-La Mancha,31.0,3.7652300000000003,299.573,66.2506,0.34133,1.30263
311,p.e. caldereros,WRI1006955,19.8,40.8131,-1.5964,wind,90.83733631579778,Guadalajara,Castilla-La Mancha,31.0,3.7652300000000003,299.573,66.2506,0.34133,1.30263
312,p.e. campisabalos,WRI1006957,24.42,43.3828,-4.0024,wind,112.03271478948393,Cantabria,Cantabria,53.0,8.0,133.333,61.7917,277.778,3.13889
313,p.e. canredondo i,WRI1006959,28.0,40.8126,-2.4938,wind,128.4568392344615,Guadalajara,Castilla-La Mancha,32.0,4.5189699999999995,321.686,69.8268,0.28684699999999996,1.39768
314,p.e. caramonte,WRI1006962,49.94,41.1722,-2.4348,wind,229.11194826317882,Soria,Castilla y León,32.0,4.5189699999999995,321.686,69.8268,0.28684699999999996,1.39768
315,p.e. carballeira,WRI1006963,24.42,42.4168,-7.7639999999999985,wind,112.03271478948393,Ourense,Galicia,29.0,11.0,165.0,61.8696,0.280328,31.0
316,p.e. cerro blanco,WRI1006975,42.0,42.5273,-3.4383,wind,192.68525885169223,Burgos,Castilla y León,31.0,10.0,296.235,66.4294,2.33333,6.0
317,p.e. cerro del calderon,WRI1006978,49.5,39.4085,-2.2017,wind,227.0933407894944,Cuenca,Castilla-La Mancha,11.0,2.96248,344.217,24.3187,0.05710169999999999,4.45545
318,p.e. cerro el colinete,WRI1006980,11.05,41.8804,-4.3624,wind,50.69457405502856,Palencia,Castilla y León,29.0,8.0,600.0,26.5,3.0,22.8333
319,p.e. cerros de radona,WRI1006984,40.0,41.2513,-2.5268,wind,183.509770334945,Soria,Castilla y León,18.0,12.0,322.938,39.0,2.0,41.0
320,p.e. chantada,WRI1006986,48.0,42.6088,-7.7712,wind,220.21172440193402,Lugo,Galicia,29.0,0.051291199999999995,165.0,61.8696,0.280328,16.0
321,p.e. cieza,WRI1006988,20.0,38.24,-1.4199,wind,91.7548851674725,Murcia,Región de Murcia,22.0,11.0,384.68800000000005,19.2225,5.0,9.17865
322,p.e. corzan,WRI1006994,36.0,42.904,-8.7427,wind,165.1587933014505,La Coruña,Galicia,27.0,18.0,110.0,58.0,1.15,6.0
323,p.e. de castelo,WRI1006999,16.5,43.2384,-8.3843,wind,75.69778026316482,A Coruña,Galicia,33.0,0.0750016,354.648,64.0,1.3,5.32833
324,p.e. de monte da serra,WRI1007001,14.4,43.5333,-7.9333,wind,66.0635173205802,A Coruña,Galicia,33.0,0.12154100000000001,342.548,57.9357,0.41536999999999996,3.9681300000000004
325,p.e. de monte marban,WRI1007002,11.4,43.5333,-7.9333,wind,52.30028454545933,A Coruña,Galicia,33.0,0.12154100000000001,342.548,57.9357,0.41536999999999996,3.9681300000000004
326,p.e. de tortosa,WRI1007003,29.9,40.8125,0.5216,wind,137.1735533253714,Tarragona,Catalunya,18.0,5.02302,401.795,39.5,3.0,7.66667
327,p.e. do vilan,WRI1007005,16.9,37.1766,-2.9502,wind,77.53287796651426,Granada,Andalucía,31.0,33.66,330.0,19.0,2.0,38.0
328,p.e. dolar 1,WRI1007006,99.0,37.1766,-2.9502,wind,454.1866815789888,Granada,Andalucía,31.0,33.66,330.0,19.0,2.0,38.0
329,p.e. echague,WRI1007008,23.1,42.6525,-1.626,wind,105.97689236843071,Navarra,Navarra,23.0,8.0,375.0,50.0,2.05,6.8
330,p.e. el conjuro,WRI1007014,13.6,36.7507,-3.5179,wind,62.393321913881294,Granada,Andalucía,36.0,13.5171,215.0,78.51,1.1,2.32
331,p.e. el coterejon i,WRI1007015,18.0,40.4532,-4.4647,wind,82.57939665072523,Ávila,Castilla y León,25.0,11.9179,700.0,32.5,1.0,14.0
332,p.e. el granado,WRI1007019,14.45,41.0983,-2.5741,wind,66.29290453349887,Guadalajara,Castilla-La Mancha,25.0,4.38159,322.938,53.9124,0.198139,2.76323
333,p.e. el guijo ii,WRI1007020,64.0,41.0983,-2.5741,wind,293.615632535912,Guadalajara,Castilla-La Mancha,25.0,4.38159,322.938,53.9124,0.198139,2.76323
334,p.e. el moral,WRI1007021,40.0,38.8299,-3.5781,wind,183.509770334945,Ciudad Real,Castilla-La Mancha,14.0,7.12437,320.85200000000003,31.0,0.11804500000000001,2.95066
335,p.e. el picazo,WRI1007026,14.0,39.45,-2.0833,wind,64.22841961723076,Cuenca,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
336,p.e. el pino,WRI1007027,24.6,36.1848,-5.4921,wind,112.85850875599121,Cádiz,Andalucía,35.0,20.1976,361.741,26.9562,4.5225,24.0
337,p.e. el romeral,WRI1007030,14.45,37.4712,-5.6461,wind,66.29290453349887,Sevilla,Andalucía,31.0,14.4311,610.0,16.3168,0.291038,13.2164
338,p.e. elgea-urkilla,WRI1007034,32.3,43.1,-2.6333,wind,148.1841395454681,Bizkaia,Euskadi,29.0,13.0,213.333,61.0,4.5,17.0
339,p.e. en robres,WRI1007037,24.0,41.8675,-0.4609,wind,110.10586220096701,Huesca,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
340,p.e. farrapa i,WRI1007042,20.0,43.3667,-7.4833,wind,91.7548851674725,Lugo,Galicia,30.0,0.128797,100.0,63.8366,0.308268,1.0
341,p.e. ferreira 2,WRI1007043,49.5,-2.9997,37.2174,wind,227.0933407894944,,Kilimanjaro Region,3.0,0.191943,339.62699999999995,1.55345,0.12456400000000001,0.781845
342,p.e. folch ii,WRI1023535,64.5,-0.2108,40.4682,wind,295.9095046650988,,Garissa County,3.0,0.320873,390.53,3.9450800000000004,0.027270299999999997,0.0347245
343,p.e. fuendetodos i,WRI1007050,46.0,41.3424,-0.9599,wind,211.0362358851868,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
344,p.e. hinojal i,WRI1007055,14.0,36.0139,-5.6069,wind,64.22841961723076,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
345,p.e. la celaya,WRI1007064,28.8,37.3449,-2.5091,wind,132.1270346411604,Almería,Andalucía,12.0,5.28758,343.8,27.0009,0.14645,12.0
346,p.e. la cerradilla,WRI1007065,63.5,37.3449,-2.5091,wind,291.3217604067252,Almería,Andalucía,12.0,5.28758,343.8,27.0009,0.14645,12.0
347,p.e. la cotera,WRI1007066,18.0,43.3598,-4.3493,wind,82.57939665072523,Cantabria,Cantabria,30.0,0.103709,327.945,64.4624,0.226079,0.89
348,p.e. la dehesica,WRI1007067,28.5,39.2167,-2.15,wind,130.75071136364832,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
349,p.e. la fuensanta,WRI1007071,49.5,38.6492,-1.98,wind,227.0933407894944,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
350,p.e. la herreria,WRI1007072,44.8,36.0139,-5.6069,wind,205.53094277513839,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
351,p.e. la losilla,WRI1007075,11.9,38.9209,-1.7202,wind,54.594156674646136,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
352,p.e. la muela i,WRI1007077,49.5,39.4085,-2.2017,wind,227.0933407894944,Cuenca,Castilla-La Mancha,11.0,2.96248,344.217,24.3187,0.05710169999999999,4.45545
353,p.e. la pena i,WRI1007078,69.0,42.0439,-3.937,wind,316.5543538277801,Burgos,Castilla y León,29.0,6.0,500.0,61.6908,5.0,4.55184
354,p.e. la torrecilla,WRI1007084,38.25,40.8127,-0.8454,wind,175.48121788279113,Teruel,Aragón,17.0,3.52451,342.131,36.0,3.0,23.0
355,p.e. la zarzuela ii,WRI1007087,16.0,36.0139,-5.6069,wind,73.403908133978,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
356,p.e. larriba - hornillos (2 fase 31/5/05),WRI1007090,32.0,42.18899999999999,-2.2951,wind,146.807816267956,La Rioja,La Rioja,22.0,4.1518,330.0,46.6667,2.825,6.433330000000001
357,p.e. las pardas,WRI1007093,49.5,41.8804,-4.3624,wind,227.0933407894944,Palencia,Castilla y León,29.0,8.0,600.0,26.5,3.0,22.8333
358,p.e. leboreiro,WRI1007096,21.12,43.4668,-7.7238,wind,96.89315873685095,Lugo,Galicia,33.0,0.12154100000000001,100.0,57.9357,0.41536999999999996,1.0
359,p.e. lezuza,WRI1007098,30.0,38.9497,-2.3542,wind,137.63232775120878,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
360,p.e. los labrados,WRI1007115,24.0,41.5558,-0.9601,wind,110.10586220096701,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
361,p.e. los llanos,WRI1007116,33.4,36.4469,-5.2858,wind,153.23065822967908,Málaga,Andalucía,27.0,17.1534,394.702,48.0115,0.8819620000000001,24.0
362,p.e. lubian,WRI1007122,50.0,42.0357,-6.9054,wind,229.38721291868129,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
363,p.e. majales,WRI1007125,49.5,38.6722,-2.4099,wind,227.0933407894944,Albacete,Castilla-La Mancha,18.0,3.57352,337.541,39.5179,0.14901199999999998,2.76859
364,p.e. majogazas,WRI1007126,49.5,39.1667,-3.8542,wind,227.0933407894944,Ciudad Real,Castilla-La Mancha,22.0,7.12437,320.85200000000003,47.7433,3.0,2.95066
365,p.e. malagon ii,WRI1007127,50.0,39.2741,-4.0554,wind,229.38721291868129,Ciudad Real,Castilla-La Mancha,27.0,6.750089999999999,318.76599999999996,58.7404,0.219559,1.39
366,p.e. manzanera,WRI1007128,25.5,40.6377,-0.3404,wind,116.98747858852744,Castellón,Comunidad Valenciana,54.0,3.01776,385.106,18.5,3.0,3.0
367,p.e. monte cabeza,WRI1007137,36.8,42.6661,-7.8861,wind,168.82898870814938,Lugo,Galicia,29.0,0.051291199999999995,165.0,61.8696,0.280328,16.0
368,p.e. monte cabeza,WRI1023639,36.8,42.7422,-7.9383,wind,168.82898870814938,Lugo,Galicia,29.0,0.051291199999999995,165.0,61.8696,0.280328,16.0
369,p.e. monte carrio  (antes monte castelo),WRI1007138,31.45,42.6609,-8.1129,wind,144.28455692585052,Pontevedra,Galicia,29.0,18.0,170.0,58.0,1.15,18.5
370,p.e. monte esquinza - san cristobal,WRI1007139,15.75,42.25,-7.3833,wind,72.25697206938459,Ourense,Galicia,33.0,11.0,165.0,71.5256,0.6956979999999999,31.0
371,p.e. muela de todolella,WRI1007145,40.5,39.0422,-2.4807,wind,185.80364246413185,Albacete,Castilla-La Mancha,16.0,2.95927,339.21,35.2263,0.047031800000000006,3.06312
372,p.e. munilla-lasanta,WRI1023537,46.0,42.2051,-2.3827,wind,211.0362358851868,La Rioja,La Rioja,22.0,4.1518,330.0,46.6667,2.825,6.433330000000001
373,p.e. murias ii,WRI1007147,84.80000000000003,43.1615,-5.6234,wind,389.04071311008346,Asturias,Principado de Asturias,56.0,27.0,626.6669999999999,27.25,7.0,24.0
374,p.e. oncala,WRI1007152,24.75,41.9503,-2.2998,wind,113.5466703947472,Soria,Castilla y León,22.0,4.1518,330.0,46.6667,2.825,6.433330000000001
375,p.e. paramo vega,WRI1007157,18.0,42.6487,-3.5904,wind,82.57939665072523,Burgos,Castilla y León,29.0,5.28498,317.514,60.7967,3.0,4.22518
376,p.e. paxareiras ii-c (virxe do monte),WRI1007158,19.2,42.8233,-9.0891,wind,88.0846897607736,A Coruña,Galicia,24.0,18.0,110.0,52.0,1.0,6.0
377,p.e. pedra chantada,WRI1007159,21.78,42.6088,-7.7712,wind,99.92106994737756,Lugo,Galicia,29.0,0.051291199999999995,165.0,61.8696,0.280328,16.0
378,p.e. pedregal tremuzo,WRI1007160,44.6,42.7762,-9.0603,wind,204.61339392346366,La Coruña,Galicia,27.0,18.0,110.0,58.0,1.15,6.0
379,p.e. pedregoso d,WRI1007161,14.85,36.0139,-5.6069,wind,68.12800223684833,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
380,p.e. pena armada,WRI1007162,20.7,42.25,-7.3833,wind,94.96630614833404,Ourense,Galicia,33.0,11.0,165.0,71.5256,0.6956979999999999,31.0
381,p.e. pena da cruz,WRI1007163,22.95,42.25,-7.3833,wind,105.28873072967473,Ourense,Galicia,33.0,11.0,165.0,71.5256,0.6956979999999999,31.0
382,p.e. pena forcada,WRI1007166,33.8,43.1653,-9.1125,wind,155.06575593302853,A Coruña,Galicia,107.0,1.34138,398.457,60.47,562.5,3.78
383,p.e. penas grandes,WRI1007171,14.4,42.4667,-8.4667,wind,66.0635173205802,Pontevedra,Galicia,22.0,19.0,105.0,47.0,1.075,5.13333
384,p.e. pico collalbas,WRI1007172,30.0,39.8667,-1.6333,wind,137.63232775120878,Cuenca,Castilla-La Mancha,27.0,29.0,335.038,7.0,4.5,37.0
385,p.e. pico gallo,WRI1007173,24.42,43.3377,-6.4145,wind,112.03271478948393,Asturias,Principado de Asturias,33.0,0.9498139999999999,170.0,29.5,0.45867600000000003,13.0
386,p.e. plana de la balsa,WRI1007175,24.0,41.5558,-0.9601,wind,110.10586220096701,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
387,p.e. plana de maria,WRI1007176,24.0,41.5388,-0.9962,wind,110.10586220096701,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
388,p.e. plana de zaragoza,WRI1007177,24.0,41.5801,-1.1172,wind,110.10586220096701,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
389,p.e. ponte rebordelo,WRI1007179,40.3,43.0084,-9.1133,wind,184.88609361245707,A Coruña,Galicia,107.0,1.34138,398.457,60.47,562.5,3.78
390,p.e. prejano-enciso,WRI1007181,29.75,42.1865,-2.18,wind,136.48539168661534,La Rioja,La Rioja,22.0,4.1518,490.0,47.75,2.46,6.9
391,p.e. quinoneria i,WRI1007186,36.55,41.351000000000006,-2.4737,wind,167.682052643556,Soria,Castilla y León,15.0,12.0,304.997,33.5,2.5,22.5
392,p.e. radona i,WRI1007187,80.42,41.3006,-2.475,wind,368.9463932584069,Soria,Castilla y León,18.0,12.0,304.997,39.0,2.0,41.0
393,p.e. rio almodovar,WRI1007191,12.8,36.1949,-5.7634,wind,58.7231265071824,Cádiz,Andalucía,50.0,23.6388,383.85400000000004,19.4907,9.37283,24.0
394,p.e. san juan de bargas (unificado),WRI1007200,89.6,41.8157,-1.4882,wind,411.06188555027677,Zaragoza,Aragón,24.0,2.9750099999999997,375.0,51.0,1.0,8.3
395,p.e. santo cristo de magallon,WRI1007204,40.0,41.8325,-1.4598,wind,183.509770334945,Zaragoza,Aragón,24.0,2.9750099999999997,375.0,51.0,1.0,8.3
396,p.e. serra de meira,WRI1007207,49.3,43.2134,-7.2937,wind,226.17579193781967,Lugo,Galicia,32.0,0.12704400000000002,100.0,69.648,0.27660300000000004,1.0
397,p.e. serra do burgo y ampliacion(11050 kw 31/5/05),WRI1007209,27.2,42.25,-7.3833,wind,124.78664382776259,Ourense,Galicia,33.0,11.0,165.0,71.5256,0.6956979999999999,31.0
398,p.e. serra do paramo,WRI1007210,20.0,42.7815,-7.4143,wind,91.7548851674725,Lugo,Galicia,32.0,0.12704400000000002,100.0,69.648,0.27660300000000004,1.0
399,p.e. sierra de guindos,WRI1007217,24.7,39.1452,-1.3288,wind,113.31728318182856,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,29.0,362.5,5.060569999999999
400,p.e. sierra de la oliva,WRI1007218,30.0,38.74800000000001,-1.1985,wind,137.63232775120878,Murcia,Región de Murcia,69.0,9.19885,381.76800000000003,30.8007,362.5,8.096919999999999
401,p.e. sierra de la oliva,WRI1023642,46.86,38.7564,-1.0117,wind,214.9816959473881,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,29.0,362.5,5.060569999999999
402,p.e. sierra de la virgen,WRI1007219,28.8,41.5406,-1.7166,wind,132.1270346411604,Zaragoza,Aragón,23.0,3.5973599999999997,316.262,49.9785,0.08475039999999999,2.09385
403,p.e. sierra de los baos y pumar,WRI1007221,30.6,43.4118,-6.2602,wind,140.38497430623295,Asturias,Principado de Asturias,33.0,23.0,390.0,40.0,4.0,14.5
404,p.e. sierra de selva,WRI1007226,33.0,42.45,-1.1167,wind,151.39556052632963,Navarra,Navarra,31.0,8.0,347.972,67.5023,0.5299229999999999,2.0777799999999997
405,p.e. sierra de tineo,WRI1007227,44.0,43.3377,-6.4145,wind,201.8607473684395,Asturias,Principado de Asturias,33.0,0.9498139999999999,170.0,29.5,0.45867600000000003,13.0
406,p.e. sierra del acebo,WRI1007229,17.82,43.2155,-6.8757,wind,81.75360268421801,Asturias,Principado de Asturias,26.0,0.603221,338.793,56.0,2.52575,3.4915300000000005
407,p.e. sierra del cortado,WRI1007232,18.48,41.7389,-2.1697,wind,84.78151389474459,Soria,Castilla y León,18.0,12.0,304.997,39.0,2.0,41.0
408,p.e. sierra del trigo,WRI1007234,15.18,37.5302,-3.6562,wind,69.64195784211165,Jaén,Andalucía,36.0,12.8241,215.0,78.51,1.1,2.32
409,p.e. sierra lacera,WRI1007236,36.9,40.7342,-1.6172,wind,169.28776313398677,Guadalajara,Castilla-La Mancha,34.0,4.750719999999999,316.262,72.509,0.837259,1.6922099999999998
410,p.e. sierra quemada,WRI1007239,26.25,38.9147,-3.5369,wind,120.42828678230764,Ciudad Real,Castilla-La Mancha,25.0,27.0,320.85200000000003,16.0,4.0,40.0
411,p.e. sos del rey catolico,WRI1007244,48.75,42.4969,-1.2151,wind,223.65253259571426,Zaragoza,Aragón,31.0,8.0,100.0,67.5023,0.5299229999999999,2.0777799999999997
412,p.e. tarayuela,WRI1007247,30.0,41.9778,-0.5373,wind,137.63232775120878,Huesca,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
413,p.e. tardienta i,WRI1007248,93.7,41.9778,-0.5373,wind,429.87163700960883,Huesca,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
414,p.e. tinajeros,WRI1007249,50.0,39.0688,-1.7434,wind,229.38721291868129,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
415,p.e. torre miro ii,WRI1007252,99.0,40.6197,-0.0989,wind,454.1866815789888,Castelló,Comunidad Valenciana,54.0,3.01776,385.106,18.5,3.0,3.0
416,p.e. valdeconejos,WRI1007259,32.3,40.7947,-0.8101,wind,148.1841395454681,Teruel,Aragón,28.0,3.52451,342.131,61.3332,0.664964,2.19292
417,p.e. valdepero,WRI1007262,30.0,42.0753,-4.5005,wind,137.63232775120878,Palencia,Castilla y León,29.0,8.0,600.0,26.5,3.0,22.8333
418,p.e. valmediano,WRI1007263,34.0,41.8347,-5.8888,wind,155.98330478470325,Zamora,Castilla y León,30.0,0.123919,315.428,64.0154,2.0,10.0
